state,city,drug_name,specialty_description,drug_claim_count,drug_supply_count,drug_cost,latitude,longitude,name
AK,ANCHORAGE,SOVALDI,Gastroenterology,35,980,1003035.57,63.588753000000004,-154.493062,Alaska
AK,FAIRBANKS,XYREM,Physician Assistant,12,360,118057.41,63.588753000000004,-154.493062,Alaska
AK,WASILLA,NEXIUM,Internal Medicine,543,11227,108272.22,63.588753000000004,-154.493062,Alaska
AK,KETCHIKAN,REVLIMID,Interventional Pain Management,17,252,107561.86,63.588753000000004,-154.493062,Alaska
AK,SOLDOTNA,XYREM,Family Practice,11,330,90846.88,63.588753000000004,-154.493062,Alaska
AK,WRANGELL,ENBREL,Family Practice,22,618,68540.21,63.588753000000004,-154.493062,Alaska
AK,JUNEAU,ENBREL,Family Practice,15,420,39839,63.588753000000004,-154.493062,Alaska
AK,CHUGIAK,OXYCONTIN,Family Practice,39,1170,37604.84,63.588753000000004,-154.493062,Alaska
AK,NORTH POLE,ENBREL,Family Practice,13,364,36816.15,63.588753000000004,-154.493062,Alaska
AK,KOTZEBUE,LANTUS,Family Practice,37,1631,31065.95,63.588753000000004,-154.493062,Alaska
AK,TOK,HUMIRA,Family Practice,11,308,29713.73,63.588753000000004,-154.493062,Alaska
AK,DELTA JUNCTION,JANUVIA,Family Practice,60,3000,26528.93,63.588753000000004,-154.493062,Alaska
AK,KODIAK,LANTUS SOLOSTAR,General Practice,28,1772,22539.73,63.588753000000004,-154.493062,Alaska
AK,KENAI,LANTUS SOLOSTAR,Family Practice,52,2050,21932.85,63.588753000000004,-154.493062,Alaska
AK,SITKA,ADVAIR DISKUS,Internal Medicine,25,990,12117.35,63.588753000000004,-154.493062,Alaska
AK,TOKSOOK BAY,SPIRIVA,Nurse Practitioner,39,1170,11623.96,63.588753000000004,-154.493062,Alaska
AK,FAIR BANKS,EXELON,Psychiatry,27,810,9542.65,63.588753000000004,-154.493062,Alaska
AK,BETHEL,ADVAIR DISKUS,Physician Assistant,26,780,8773.69,63.588753000000004,-154.493062,Alaska
AK,KAKE,DULOXETINE HCL,Nurse Practitioner,20,1095,8480.75,63.588753000000004,-154.493062,Alaska
AK,NOME,ATORVASTATIN CALCIUM,Family Practice,69,3300,7387.01,63.588753000000004,-154.493062,Alaska
AK,DILLINGHAM,JANUVIA,Family Practice,14,540,5163.68,63.588753000000004,-154.493062,Alaska
AK,GAKONA,SPIRIVA,Nurse Practitioner,17,510,5094.95,63.588753000000004,-154.493062,Alaska
AK,TALKEETNA,MULTAQ,Family Practice,11,301,4874.35,63.588753000000004,-154.493062,Alaska
AK,KING COVE,HUMALOG,Nurse Practitioner,12,348,4859.94,63.588753000000004,-154.493062,Alaska
AK,GLENNALLEN,SPIRIVA,Nurse Practitioner,14,420,4211.1,63.588753000000004,-154.493062,Alaska
AK,KLAWOCK,BENICAR,Family Practice,16,480,4052.6,63.588753000000004,-154.493062,Alaska
AK,FARIBANKS,NEXIUM,Nurse Practitioner,11,510,3997.69,63.588753000000004,-154.493062,Alaska
AK,WILLOW,CRESTOR,Physician Assistant,13,630,3844.77,63.588753000000004,-154.493062,Alaska
AK,ANIAK,EFFIENT,Physician Assistant,12,420,3821.17,63.588753000000004,-154.493062,Alaska
AK,NINILCHIK,SYMBICORT,Nurse Practitioner,15,450,3816.56,63.588753000000004,-154.493062,Alaska
AK,HYDABURG,ZETIA,Physician Assistant,11,510,3332.5,63.588753000000004,-154.493062,Alaska
AK,CLEAR,LANTUS,Physician Assistant,11,308,2917.89,63.588753000000004,-154.493062,Alaska
AK,ST PAUL ISLAND,ADVAIR DISKUS,Nurse Practitioner,16,480,2644.83,63.588753000000004,-154.493062,Alaska
AK,HAINES,SEREVENT DISKUS,Family Practice,12,360,2559.12,63.588753000000004,-154.493062,Alaska
AK,HOOPER BAY,EXFORGE,Physician Assistant,23,291,2031.81,63.588753000000004,-154.493062,Alaska
AK,JBER,MORPHINE SULFATE ER,Physician Assistant,16,478,1702.2,63.588753000000004,-154.493062,Alaska
