state,city,total_drug_count,latitude,longitude,name
AL,NEWTON,257,32.318231,-86.902298,Alabama
AL,HEFLIN,484,32.318231,-86.902298,Alabama
AL,HEADLAND,310,32.318231,-86.902298,Alabama
AL,HAZEL GREEN,356,32.318231,-86.902298,Alabama
AL,HAYNEVILLE,199,32.318231,-86.902298,Alabama
AL,HARVEST,122,32.318231,-86.902298,Alabama
AL,HARTSELLE,1806,32.318231,-86.902298,Alabama
AL,HARTFORD,232,32.318231,-86.902298,Alabama
AL,HARPERSVILLE,56,32.318231,-86.902298,Alabama
AL,HANCEVILLE,145,32.318231,-86.902298,Alabama
AL,HAMPTON COVE,7,32.318231,-86.902298,Alabama
AL,HAMILTON,890,32.318231,-86.902298,Alabama
AL,HALEYVILLE,1875,32.318231,-86.902298,Alabama
AL,HACKLEBURG,512,32.318231,-86.902298,Alabama
AL,GURLEY,252,32.318231,-86.902298,Alabama
AL,GUNTERSVILLE,2894,32.318231,-86.902298,Alabama
AL,HELENA,351,32.318231,-86.902298,Alabama
AL,GUNTERSILLE,24,32.318231,-86.902298,Alabama
AL,HENAGAR,440,32.318231,-86.902298,Alabama
AL,HOKES BLUFF,87,32.318231,-86.902298,Alabama
AL,LACEYS SPRING,70,32.318231,-86.902298,Alabama
AL,KILLEN,623,32.318231,-86.902298,Alabama
AL,JEMISON,419,32.318231,-86.902298,Alabama
AL,JASPER,5858,32.318231,-86.902298,Alabama
AL,JACKSONVILLE,1135,32.318231,-86.902298,Alabama
AL,JACKSON,960,32.318231,-86.902298,Alabama
AL,IRVINGTON,346,32.318231,-86.902298,Alabama
AL,IRONDALE,535,32.318231,-86.902298,Alabama
AL,HUTNSVILLE,12,32.318231,-86.902298,Alabama
AL,HUNTSVILLE,21600,32.318231,-86.902298,Alabama
AL,HUEYTOWN,1192,32.318231,-86.902298,Alabama
AL,HORTON,67,32.318231,-86.902298,Alabama
AL,HOOVER,1785,32.318231,-86.902298,Alabama
AL,HOMEWOOD,1376,32.318231,-86.902298,Alabama
AL,HOLLY POND,18,32.318231,-86.902298,Alabama
AL,HOBSON CITY,34,32.318231,-86.902298,Alabama
AL,GULF SHORES,1223,32.318231,-86.902298,Alabama
AL,GUIN,371,32.318231,-86.902298,Alabama
AL,GROVE HILL,640,32.318231,-86.902298,Alabama
AL,FT MCCLELLAN,82,32.318231,-86.902298,Alabama
AL,FRISCO CITY,4,32.318231,-86.902298,Alabama
AL,FORT RUCKER,24,32.318231,-86.902298,Alabama
AL,FORT PAYNE,2619,32.318231,-86.902298,Alabama
AL,FORESTDALE,8,32.318231,-86.902298,Alabama
AL,FOLEY,2472,32.318231,-86.902298,Alabama
AL,FLORENCE,8330,32.318231,-86.902298,Alabama
AL,FLORALA,259,32.318231,-86.902298,Alabama
AL,FLOMATON,283,32.318231,-86.902298,Alabama
AL,FAYETTE,1370,32.318231,-86.902298,Alabama
AL,FAIRHOPE,4930,32.318231,-86.902298,Alabama
AL,FAIRHOP,146,32.318231,-86.902298,Alabama
AL,FAIRFIELD,141,32.318231,-86.902298,Alabama
AL,EVERGREEN,1363,32.318231,-86.902298,Alabama
AL,EVA,21,32.318231,-86.902298,Alabama
AL,FT RUCKER,7,32.318231,-86.902298,Alabama
AL,FT. RUCKER,1,32.318231,-86.902298,Alabama
AL,FULTON,4,32.318231,-86.902298,Alabama
AL,FULTONDALE,867,32.318231,-86.902298,Alabama
AL,GREENWELL SPRINGS,4,32.318231,-86.902298,Alabama
AL,GREENVILLE,1495,32.318231,-86.902298,Alabama
AL,GREENSBORO,492,32.318231,-86.902298,Alabama
AL,GRAYSVILLE,207,32.318231,-86.902298,Alabama
AL,GRANT,189,32.318231,-86.902298,Alabama
AL,GRAND BAY,304,32.318231,-86.902298,Alabama
AL,GORDO,376,32.318231,-86.902298,Alabama
AL,LAFAYETTE,210,32.318231,-86.902298,Alabama
AL,GLENCOE,132,32.318231,-86.902298,Alabama
AL,GERALDINE,227,32.318231,-86.902298,Alabama
AL,GEORGIANA,392,32.318231,-86.902298,Alabama
AL,GENEVA,950,32.318231,-86.902298,Alabama
AL,GARDENDALE,1816,32.318231,-86.902298,Alabama
AL,GADSEN,51,32.318231,-86.902298,Alabama
AL,GADSDEN,9985,32.318231,-86.902298,Alabama
AL,FYFFE,83,32.318231,-86.902298,Alabama
AL,GILBERTOWN,359,32.318231,-86.902298,Alabama
AL,LANETT,94,32.318231,-86.902298,Alabama
AL,LEEDS,254,32.318231,-86.902298,Alabama
AL,LEESBURG,338,32.318231,-86.902298,Alabama
AL,OWENS CROSS ROADS,307,32.318231,-86.902298,Alabama
AL,ORANGE BEACH,176,32.318231,-86.902298,Alabama
AL,OPP,1355,32.318231,-86.902298,Alabama
AL,OPELKA,32,32.318231,-86.902298,Alabama
AL,OPELIKA,5343,32.318231,-86.902298,Alabama
AL,ONEONTA,1608,32.318231,-86.902298,Alabama
AL,OHATCHEE,228,32.318231,-86.902298,Alabama
AL,ODENVILLE,2,32.318231,-86.902298,Alabama
AL,OAKMAN,5,32.318231,-86.902298,Alabama
AL,NOTASULGA,126,32.318231,-86.902298,Alabama
AL,NORTHPORT,2887,32.318231,-86.902298,Alabama
AL,REDSTONE ARSENAL,107,32.318231,-86.902298,Alabama
AL,NEW MARKET,111,32.318231,-86.902298,Alabama
AL,MUSCLE SHOALS,2223,32.318231,-86.902298,Alabama
AL,MUNFORD,56,32.318231,-86.902298,Alabama
