provider_state,city,apc,apc_count,apc_total_payments,avg_pay_apc
AK, Anchorage,0012 - Level I Debridement & Destruction,4,181.88130053,45.4703251325
AK, Anchorage,0013 - Level II Debridement & Destruction,21,1749.85516689,83.32643651857143
AK, Anchorage,0015 - Level III Debridement & Destruction,14,1883.5445588,134.53889705714286
AK, Anchorage,0019 - Level I Excision/ Biopsy,1,407.786875,407.786875
AK, Anchorage,0020 - Level II Excision/ Biopsy,1,721.5161538,721.5161538
AK, Anchorage,0073 - Level III Endoscopy Upper Airway,3,1059.4746667000002,353.1582222333334
AK, Anchorage,0078 - Level III Pulmonary Treatment,20,2407.6838383000004,120.38419191500002
AK, Anchorage,0096 - Level II Noninvasive Physiologic Studies,9,1178.8706039,130.98562265555557
AK, Anchorage,0204 - Level I Nerve Injections,14,2980.8658406,212.91898861428572
AK, Anchorage,0206 - Level II Nerve Injections,3,1109.5640967,369.85469889999996
AK, Anchorage,0207 - Level III Nerve Injections,10,6503.006410700001,650.3006410700001
AK, Anchorage,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",16,14892.471421899998,930.7794638687499
AK, Anchorage,0265 - Level I Diagnostic and Screening Ultrasound,24,1978.20511811,82.42521325458334
AK, Anchorage,0267 - Level III Diagnostic and Screening Ultrasound,24,4620.1013815,192.50422422916665
AK, Anchorage,0269 - Level II Echocardiogram Without Contrast,20,9326.4385728,466.32192864
AK, Anchorage,0270 - Level III Echocardiogram Without Contrast,5,3277.9782891,655.59565782
AK, Anchorage,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,21,8420.2755898,400.9655042761905
AK, Anchorage,0368 - Level II Pulmonary Tests,19,1445.88308409,76.09910968894737
AK, Anchorage,0369 - Level III Pulmonary Tests,1,276.490625,276.490625
AK, Anchorage,0377 - Level II Cardiac Imaging,20,18693.8683773,934.693418865
AK, Anchorage,0604 - Level 1 Hospital Clinic Visits,18,1153.8513739599998,64.10285410888888
AK, Anchorage,0605 - Level 2 Hospital Clinic Visits,14,1197.7777896199998,85.55555640142856
AK, Anchorage,0606 - Level 3 Hospital Clinic Visits,12,1341.2529992,111.77108326666666
AK, Anchorage,0607 - Level 4 Hospital Clinic Visits,9,1345.6808319,149.52009243333333
AK, Anchorage,0608 - Level 5 Hospital Clinic Visits,1,216.6768182,216.6768182
AK, Anchorage,0634 - Hospital Clinic Visits,6,676.6778023,112.77963371666668
AK, Anchorage,0690 - Level I Electronic Analysis of Devices,5,207.45894934999998,41.49178987
AK, Anchorage,0692 - Level II Electronic Analysis of Devices,3,409.2401603999999,136.41338679999998
AL, Birmingham,0012 - Level I Debridement & Destruction,1,21.91043478,21.91043478
AL, Birmingham,0013 - Level II Debridement & Destruction,60,3130.484911580001,52.17474852633335
AL, Birmingham,0015 - Level III Debridement & Destruction,60,5803.331588939999,96.72219314899999
AL, Birmingham,0019 - Level I Excision/ Biopsy,18,4886.793694500001,271.48853858333337
AL, Birmingham,0020 - Level II Excision/ Biopsy,61,31211.486376799996,511.6637110950819
AL, Birmingham,0073 - Level III Endoscopy Upper Airway,2,2055.786,1027.893
AL, Birmingham,0074 - Level IV Endoscopy Upper Airway,12,16311.159693,1359.26330775
AL, Birmingham,0078 - Level III Pulmonary Treatment,71,6422.427250400001,90.45672183661974
AL, Birmingham,0096 - Level II Noninvasive Physiologic Studies,75,7413.666352560003,98.84888470080004
AL, Birmingham,0203 - Level IV Nerve Injections,8,7572.7842587,946.5980323375
AL, Birmingham,0204 - Level I Nerve Injections,37,5867.802759099999,158.58926375945944
AL, Birmingham,0206 - Level II Nerve Injections,27,6555.796694500001,242.8072849814815
AL, Birmingham,0207 - Level III Nerve Injections,112,54026.52730990002,482.3797081241073
AL, Birmingham,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",81,55457.62992010001,684.6620977790125
AL, Birmingham,0265 - Level I Diagnostic and Screening Ultrasound,129,7853.03010326,60.876202350852715
AL, Birmingham,0267 - Level III Diagnostic and Screening Ultrasound,143,20302.115409100013,141.97283502867143
AL, Birmingham,0269 - Level II Echocardiogram Without Contrast,142,49769.3257224,350.488209312676
AL, Birmingham,0270 - Level III Echocardiogram Without Contrast,53,26839.7050671,506.40952956792455
AL, Birmingham,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,123,36557.330553200016,297.2140695382115
AL, Birmingham,0368 - Level II Pulmonary Tests,59,3437.1155566900006,58.25619587610171
AL, Birmingham,0369 - Level III Pulmonary Tests,1,210.7468421,210.7468421
AL, Birmingham,0377 - Level II Cardiac Imaging,117,81910.18667020001,700.0870655572651
AL, Birmingham,0604 - Level 1 Hospital Clinic Visits,57,2747.7667508799996,48.206434225964905
