provider_state,name,drug_name,drug_count_most_consumed,total_drug_count,specialty_description,drug_claim_count,drug_supply_count,drug_cost,avg_cost_drug,latitude,longitude
AK,Alaska,HYDROCODONE-ACETAMINOPHEN,678,28789,Rheumatology,35,1036,99994,2857,63.588753,-154.493062
AL,Alabama,HYDROCODONE-ACETAMINOPHEN,5879,416414,Neurosurgery,23,261,999,43,32.318231,-86.902298
AR,Arkansas,HYDROCODONE-ACETAMINOPHEN,3882,270034,Endocrinology,16,809,9993,625,35.20105,-91.831833
AZ,Arizona,HYDROCODONE-ACETAMINOPHEN,6950,422552,Family Practice,12,672,999,83,34.048928,-111.093731
CA,California,HYDROCODONE-ACETAMINOPHEN,40167,2314491,Pharmacist,12,360,9999,833,36.778261,-119.417932
CO,Colorado,HYDROCODONE-ACETAMINOPHEN,5979,310071,Family Practice,11,326,9990,908,39.550051,-105.782067
CT,Connecticut,LISINOPRIL,3462,285153,Unknown Physician Specialty Code,14,600,9996,714,41.603221,-73.087749
DC,District of Columbia,LISINOPRIL,864,40964,Internal Medicine,37,542,1000,27,38.905985,-77.033418
DE,Delaware,LISINOPRIL,843,68643,Family Practice,28,840,9995,357,38.910832,-75.52767
FL,Florida,LISINOPRIL,17115,1611230,Family Medicine,27,1050,10000,370,27.664827,-81.515754
GA,Georgia,HYDROCODONE-ACETAMINOPHEN,9856,665123,Endocrinology,39,1560,9991,256,32.157435,-82.907123
HI,Hawaii,HYDROCODONE-ACETAMINOPHEN,1085,79295,Optometry,13,337,999,77,19.898682,-155.665857
IA,Iowa,HYDROCODONE-ACETAMINOPHEN,3861,287799,Family Practice,15,155,9991,666,41.878003,-93.097702
ID,Idaho,HYDROCODONE-ACETAMINOPHEN,2312,112680,Family Practice,13,240,999,77,44.068202,-114.742041
IL,Illinois,HYDROCODONE-ACETAMINOPHEN,14241,866555,Internal Medicine,11,308,10000,909,40.633125,-89.398528
IN,Indiana,HYDROCODONE-ACETAMINOPHEN,8721,536177,Rheumatology,270,11370,9994,37,40.551217,-85.602364
KS,Kansas,HYDROCODONE-ACETAMINOPHEN,3912,245809,Geriatric Medicine,14,162,999,71,39.011902,-98.484246
KY,Kentucky,HYDROCODONE-ACETAMINOPHEN,5563,451198,Cardiology,28,1080,9995,357,37.839333,-84.270018
LA,Louisiana,HYDROCODONE-ACETAMINOPHEN,5880,394524,Nuclear Medicine,83,3951,10000,120,31.244823,-92.145024
MA,Massachusetts,OMEPRAZOLE,8158,557193,Pulmonary Disease,194,2718,9990,51,42.407211,-71.382437
MD,Maryland,LISINOPRIL,4788,337502,General Practice,12,360,1000,83,39.045755,-76.641271
ME,Maine,HYDROCODONE-ACETAMINOPHEN,2103,138404,Family Practice,13,130,999,77,45.253783,-69.445469
MI,Michigan,HYDROCODONE-ACETAMINOPHEN,15650,824210,Multispecialty Clinic/Group Practice,32,1680,9997,312,44.314844,-85.602364
MN,Minnesota,HYDROCODONE-ACETAMINOPHEN,6017,401258,Medical Oncology,19,1651,999,53,46.729553,-94.6859
