provider_state,city,avg_charges,msdrg_total_count,cost_per_treatment,latitude,longitude,name,type
AK,Anchorage,"51,411,844.62",939,"54,751.70",63.588753,-154.493062,Alaska,inpatients
AL,Birmingham,"322,543,033.00","7,453.00","43,276.94",32.318231,-86.902298,Alabama,inpatients
AL,Columbus,"1,297,255.38",32,"40,539.23",32.318231,-86.902298,Alabama,inpatients
AL,Dothan,"44,033,830.08","1,201.00","36,664.30",32.318231,-86.902298,Alabama,inpatients
AL,Huntsville,"62,083,541.17","1,614.00","38,465.64",32.318231,-86.902298,Alabama,inpatients
AL,Meridian,"125,400.69",15,"8,360.05",32.318231,-86.902298,Alabama,inpatients
AL,Mobile,"54,578,412.56","1,844.00","29,597.84",32.318231,-86.902298,Alabama,inpatients
AL,Montgomery,"40,467,751.49","1,409.00","28,720.90",32.318231,-86.902298,Alabama,inpatients
AL,Pensacola,"4,824,855.44",294,"16,411.07",32.318231,-86.902298,Alabama,inpatients
AL,Rome,"691,918.04",36,"19,219.95",32.318231,-86.902298,Alabama,inpatients
AL,Tupelo,"604,872.35",36,"16,802.01",32.318231,-86.902298,Alabama,inpatients
AL,Tuscaloosa,"21,791,078.39",682,"31,951.73",32.318231,-86.902298,Alabama,inpatients
AR,Fort Smith,"27,945,345.54",855,"32,684.61",35.20105,-91.831833,Arkansas,inpatients
AR,Jonesboro,"17,995,184.12",863,"20,851.89",35.20105,-91.831833,Arkansas,inpatients
AR,Little Rock,"159,021,697.00","5,031.00","31,608.37",35.20105,-91.831833,Arkansas,inpatients
AR,Memphis,"6,492,465.27",290,"22,387.81",35.20105,-91.831833,Arkansas,inpatients
AR,Springdale,"42,403,590.63","1,182.00","35,874.44",35.20105,-91.831833,Arkansas,inpatients
AR,Springfield,"6,794,200.73",330,"20,588.49",35.20105,-91.831833,Arkansas,inpatients
AR,Texarkana,"1,407,050.68",72,"19,542.37",35.20105,-91.831833,Arkansas,inpatients
AZ,Albuquerque,"341,532.00",47,"7,266.64",34.048928,-111.093731,Arizona,inpatients
AZ,Las Vegas,"28,842,069.92",360,"80,116.86",34.048928,-111.093731,Arizona,inpatients
AZ,Mesa,"106,541,615.80","2,041.00","52,200.69",34.048928,-111.093731,Arizona,inpatients
AZ,Phoenix,"290,769,634.30","6,216.00","46,777.61",34.048928,-111.093731,Arizona,inpatients
AZ,Sun City,"37,668,995.98",804,"46,851.99",34.048928,-111.093731,Arizona,inpatients
AZ,Tucson,"97,453,101.12","2,199.00","44,317.01",34.048928,-111.093731,Arizona,inpatients
CA,Alameda County,"167,194,927.10","1,957.00","85,434.30",36.778261,-119.417932,California,inpatients
CA,Bakersfield,"107,106,403.80","1,880.00","56,971.49",36.778261,-119.417932,California,inpatients
