State,Latitude,Longitude,change
Alabama,32.31823,-86.902298,4.5
Alaska,66.160507,-153.369141,5.0
Arizona,34.048927,-111.093735,6.1
Arkansas,34.799999,-92.199997,8.0
California,36.778259,-119.417931,9.9
Colorado,39.113014,-105.358887,7.8
Connecticut,41.599998,-72.699997,3.1
Delaware,39.0,-75.5,3.8
Florida,27.994402,-81.760254,8.0
Georgia,33.247875,-83.441162,5.8
Hawaii,20.716179,-158.214676,3.9
Idaho,44.068203,-114.742043,6.7
Illinois,40.0,-89.0,6.7
Indiana,40.273502,-86.126976,5.2
Iowa,42.032974,-93.581543,4.3
Kansas,38.5,-98.0,4.8
Kentucky,37.839333,-84.27002,9.3
Louisiana,30.39183,-92.329102,5.9
Maine,45.367584,-68.972168,1.7000000000000002
Maryland,39.045753,-76.641273,4.7
Massachusetts,42.407211,-71.382439,1.6
Michigan,44.182205,-84.506836,6.3
Minnesota,46.39241,-94.63623,4.6
Mississippi,33.0,-90.0,5.5
Missouri,38.573936,-92.60376,3.4
Montana,46.96526,-109.533691,5.7
Nebraska,41.5,-100.0,3.3
Nevada,39.876019,-117.224121,10.3
New Hampshire,44.0,-71.5,4.8
New Jersey,39.833851,-74.871826,4.5
New Mexico,34.307144,-106.018066,8.7
New York,43.0,-75.0,4.8
North Carolina,35.782169,-80.793457,5.6
North Dakota,47.650589,-100.437012,2.0
Ohio,40.367474,-82.996216,5.8
Oklahoma,36.084621,-96.921387,5.0
Oregon,44.0,-120.5,10.1
Pennsylvania,41.203323,-77.194527,3.8
Rhode Island,41.700001,-71.5,6.5
South Carolina,33.836082,-81.163727,6.6
South Dakota,44.5,-100.0,2.2
Tennessee,35.860119,-86.660156,4.1
Texas,31.0,-100.0,6.6
Utah,39.41922,-111.950684,4.8
Vermont,44.0,-72.699997,4.2
Virginia,37.926868,-78.024902,4.0
Washington,47.751076,-120.740135,7.6
West Virginia,39.0,-80.5,8.6
Wisconsin,44.5,-89.5,3.7
Wyoming,43.07597,-107.290283,3.4
