provider_state,city,apc,apc_count,apc_total_payments,avg_pay_apc
AK,Anchorage,0012 - Level I Debridement & Destruction,4,181.88130053,45.4703251325
AK,Anchorage,0013 - Level II Debridement & Destruction,21,1749.85516689,83.3264365185714
AK,Anchorage,0015 - Level III Debridement & Destruction,14,1883.5445588,134.538897057143
AK,Anchorage,0019 - Level I Excision/ Biopsy,1,407.786875,407.786875
AK,Anchorage,0020 - Level II Excision/ Biopsy,1,721.5161538,721.5161538
AK,Anchorage,0073 - Level III Endoscopy Upper Airway,3,1059.4746667,353.158222233333
AK,Anchorage,0078 - Level III Pulmonary Treatment,20,2407.6838383,120.384191915
AK,Anchorage,0096 - Level II Noninvasive Physiologic Studies,9,1178.8706039,130.985622655556
AK,Anchorage,0204 - Level I Nerve Injections,14,2980.8658406,212.918988614286
AK,Anchorage,0206 - Level II Nerve Injections,3,1109.5640967,369.8546989
AK,Anchorage,0207 - Level III Nerve Injections,10,6503.0064107,650.30064107
AK,Anchorage,"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",16,14892.4714219,930.77946386875
AK,Anchorage,0265 - Level I Diagnostic and Screening Ultrasound,24,1978.20511811,82.4252132545833
AK,Anchorage,0267 - Level III Diagnostic and Screening Ultrasound,24,4620.1013815,192.504224229167
AK,Anchorage,0269 - Level II Echocardiogram Without Contrast,20,9326.4385728,466.32192864
AK,Anchorage,0270 - Level III Echocardiogram Without Contrast,5,3277.9782891,655.59565782
AK,Anchorage,0336 - Magnetic Resonance Imaging and Magnetic Resonance Angiography without Contrast,21,8420.2755898,400.96550427619
AK,Anchorage,0368 - Level II Pulmonary Tests,19,1445.88308409,76.0991096889474
AK,Anchorage,0369 - Level III Pulmonary Tests,1,276.490625,276.490625
AK,Anchorage,0377 - Level II Cardiac Imaging,20,18693.8683773,934.693418865
AK,Anchorage,0604 - Level 1 Hospital Clinic Visits,18,1153.85137396,64.1028541088889
AK,Anchorage,0605 - Level 2 Hospital Clinic Visits,14,1197.77778962,85.5555564014286
AK,Anchorage,0606 - Level 3 Hospital Clinic Visits,12,1341.2529992,111.771083266667
AK,Anchorage,0607 - Level 4 Hospital Clinic Visits,9,1345.6808319,149.520092433333
AK,Anchorage,0608 - Level 5 Hospital Clinic Visits,1,216.6768182,216.6768182
AK,Anchorage,0634 - Hospital Clinic Visits,6,676.6778023,112.779633716667
AK,Anchorage,0690 - Level I Electronic Analysis of Devices,5,207.45894935,41.49178987
AK,Anchorage,0692 - Level II Electronic Analysis of Devices,3,409.2401604,136.4133868
AL,Birmingham,0012 - Level I Debridement & Destruction,1,21.91043478,21.91043478
AL,Birmingham,0013 - Level II Debridement & Destruction,60,3130.48491158,52.1747485263334
AL,Birmingham,0015 - Level III Debridement & Destruction,60,5803.33158894,96.722193149
AL,Birmingham,0019 - Level I Excision/ Biopsy,18,4886.7936945,271.488538583333
AL,Birmingham,0020 - Level II Excision/ Biopsy,61,31211.4863768,511.663711095082
AL,Birmingham,0073 - Level III Endoscopy Upper Airway,2,2055.786,1027.893
AL,Birmingham,0074 - Level IV Endoscopy Upper Airway,12,16311.159693,1359.26330775
AL,Birmingham,0078 - Level III Pulmonary Treatment,71,6422.4272504,90.4567218366197
AL,Birmingham,0096 - Level II Noninvasive Physiologic Studies,75,7413.66635256,98.8488847008
