provider_state,city,avg_charges,msdrg_total_count,cost_per_treatment,latitude,longitude,name,type
AK,Anchorage,51411844.62,939,54751.69821,63.588753,-154.493062,Alaska,inpatients
AL,Birmingham,322543033,7453,43276.93989,32.318231,-86.902298,Alabama,inpatients
AL,Columbus,1297255.38,32,40539.23062,32.318231,-86.902298,Alabama,inpatients
AL,Dothan,44033830.08,1201,36664.30481,32.318231,-86.902298,Alabama,inpatients
AL,Huntsville,62083541.17,1614,38465.63889,32.318231,-86.902298,Alabama,inpatients
AL,Meridian,125400.6928,15,8360.046185,32.318231,-86.902298,Alabama,inpatients
AL,Mobile,54578412.56,1844,29597.83761,32.318231,-86.902298,Alabama,inpatients
AL,Montgomery,40467751.49,1409,28720.90241,32.318231,-86.902298,Alabama,inpatients
AL,Pensacola,4824855.442,294,16411.07293,32.318231,-86.902298,Alabama,inpatients
AL,Rome,691918.0431,36,19219.94564,32.318231,-86.902298,Alabama,inpatients
AL,Tupelo,604872.3516,36,16802.00977,32.318231,-86.902298,Alabama,inpatients
AL,Tuscaloosa,21791078.39,682,31951.72785,32.318231,-86.902298,Alabama,inpatients
AR,Fort Smith,27945345.54,855,32684.61466,35.20105,-91.831833,Arkansas,inpatients
AR,Jonesboro,17995184.12,863,20851.89354,35.20105,-91.831833,Arkansas,inpatients
AR,Little Rock,159021697,5031,31608.36752,35.20105,-91.831833,Arkansas,inpatients
AR,Memphis,6492465.27,290,22387.81128,35.20105,-91.831833,Arkansas,inpatients
AR,Springdale,42403590.63,1182,35874.44216,35.20105,-91.831833,Arkansas,inpatients
AR,Springfield,6794200.73,330,20588.48706,35.20105,-91.831833,Arkansas,inpatients
AR,Texarkana,1407050.684,72,19542.37061,35.20105,-91.831833,Arkansas,inpatients
AZ,Albuquerque,341531.9983,47,7266.638261,34.048928,-111.093731,Arizona,inpatients
AZ,Las Vegas,28842069.92,360,80116.86089,34.048928,-111.093731,Arizona,inpatients
AZ,Mesa,106541615.8,2041,52200.69369,34.048928,-111.093731,Arizona,inpatients
AZ,Phoenix,290769634.3,6216,46777.61169,34.048928,-111.093731,Arizona,inpatients
AZ,Sun City,37668995.98,804,46851.98505,34.048928,-111.093731,Arizona,inpatients
AZ,Tucson,97453101.12,2199,44317.00824,34.048928,-111.093731,Arizona,inpatients
CA,Alameda County,167194927.1,1957,85434.30101,36.778261,-119.417932,California,inpatients
CA,Bakersfield,107106403.8,1880,56971.49141,36.778261,-119.417932,California,inpatients
CA,Chico,67609408.91,1014,66675.94567,36.778261,-119.417932,California,inpatients
CA,Contra Costa County,157836722.9,1443,109380.9583,36.778261,-119.417932,California,inpatients
CA,Fresno,79853791.4,1563,51090.07767,36.778261,-119.417932,California,inpatients
CA,Los Angeles,1145654920,14680,78041.88825,36.778261,-119.417932,California,inpatients
CA,Medford,3265415.133,98,33320.56258,36.778261,-119.417932,California,inpatients
CA,Modesto,146454263.6,1527,95909.79937,36.778261,-119.417932,California,inpatients
CA,Napa,46172854.91,572,80721.77431,36.778261,-119.417932,California,inpatients
CA,Orange County,274310414.1,4005,68491.98853,36.778261,-119.417932,California,inpatients
CA,Palm Springs/Rancho M,72646893.81,832,87315.97813,36.778261,-119.417932,California,inpatients
CA,Phoenix,690828.9374,21,32896.61607,36.778261,-119.417932,California,inpatients
CA,Redding,65255545.62,966,67552.32466,36.778261,-119.417932,California,inpatients
CA,Sacramento,308630490.4,3881,79523.44509,36.778261,-119.417932,California,inpatients
CA,Salinas,57608315.47,722,79789.91062,36.778261,-119.417932,California,inpatients
CA,San Bernardino,195981001.2,3213,60996.26553,36.778261,-119.417932,California,inpatients
CA,San Diego,341080459.5,5096,66931.01639,36.778261,-119.417932,California,inpatients
CA,San Francisco,217306502.2,2312,93990.70163,36.778261,-119.417932,California,inpatients
CA,San Jose,188042476.3,1751,107391.4771,36.778261,-119.417932,California,inpatients
CA,San Luis Obispo,37885690.5,538,70419.49907,36.778261,-119.417932,California,inpatients
CA,San Mateo County,164794859.8,1242,132685.0723,36.778261,-119.417932,California,inpatients
CA,Santa Barbara,42537294.07,777,54745.55221,36.778261,-119.417932,California,inpatients
CA,Santa Cruz,41298847.58,458,90172.15628,36.778261,-119.417932,California,inpatients
CA,Santa Rosa,54202421.4,682,79475.6912,36.778261,-119.417932,California,inpatients
CA,Stockton,69294681.94,832,83286.87733,36.778261,-119.417932,California,inpatients
CA,Ventura,111778338,1430,78166.66993,36.778261,-119.417932,California,inpatients
CO,Albuquerque,4618285.002,141,32753.79434,39.550051,-105.782067,Colorado,inpatients
CO,Boulder,25573650.42,547,46752.56019,39.550051,-105.782067,Colorado,inpatients
CO,Colorado Springs,42557607.23,1022,41641.49435,39.550051,-105.782067,Colorado,inpatients
CO,Denver,227289463.8,3589,63329.46888,39.550051,-105.782067,Colorado,inpatients
CO,Fort Collins,10422654.38,315,33087.79167,39.550051,-105.782067,Colorado,inpatients
CO,Grand Junction,21817585.04,655,33309.29014,39.550051,-105.782067,Colorado,inpatients
