provider_state,city,avg_charges,apc_total_count,cost_per_treatment,latitude,longitude,name,type
AK,Anchorage,403995.4322,318,1270.425887,63.588753,-154.493062,Alaska,outpatients
AL,Birmingham,3721993.763,1646,2261.235579,32.318231,-86.902298,Alabama,outpatients
AL,Columbus,20254.59348,12,1687.88279,32.318231,-86.902298,Alabama,outpatients
AL,Dothan,575999.2657,298,1932.883442,32.318231,-86.902298,Alabama,outpatients
AL,Huntsville,679135.5357,275,2469.583766,32.318231,-86.902298,Alabama,outpatients
AL,Meridian,1563.948864,3,521.3162879,32.318231,-86.902298,Alabama,outpatients
AL,Mobile,709039.4036,464,1528.102163,32.318231,-86.902298,Alabama,outpatients
AL,Montgomery,504270.7066,347,1453.229702,32.318231,-86.902298,Alabama,outpatients
AL,Pensacola,206276.8988,115,1793.712164,32.318231,-86.902298,Alabama,outpatients
AL,Rome,88626.73507,29,3056.094313,32.318231,-86.902298,Alabama,outpatients
AL,Tupelo,25197.36858,19,1326.177294,32.318231,-86.902298,Alabama,outpatients
AL,Tuscaloosa,168033.4617,159,1056.814225,32.318231,-86.902298,Alabama,outpatients
AR,Fort Smith,354171.4935,234,1513.553391,35.20105,-91.831833,Arkansas,outpatients
AR,Jonesboro,208293.9282,187,1113.871274,35.20105,-91.831833,Arkansas,outpatients
AR,Little Rock,1671387.502,1305,1280.756706,35.20105,-91.831833,Arkansas,outpatients
AR,Memphis,167424.6906,112,1494.863309,35.20105,-91.831833,Arkansas,outpatients
AR,Springdale,566054.2431,307,1843.824896,35.20105,-91.831833,Arkansas,outpatients
AR,Springfield,93755.4843,76,1233.624793,35.20105,-91.831833,Arkansas,outpatients
AR,Texarkana,20292.20477,18,1127.344709,35.20105,-91.831833,Arkansas,outpatients
AZ,Las Vegas,189498.6218,94,2015.942785,34.048928,-111.093731,Arizona,outpatients
AZ,Mesa,787175.2392,360,2186.597887,34.048928,-111.093731,Arizona,outpatients
AZ,Phoenix,2570949.135,1333,1928.694025,34.048928,-111.093731,Arizona,outpatients
AZ,Sun City,221312.8993,109,2030.393572,34.048928,-111.093731,Arizona,outpatients
AZ,Tucson,856331.1587,541,1582.867206,34.048928,-111.093731,Arizona,outpatients
CA,Alameda County,871323.8717,392,2222.764979,36.778261,-119.417932,California,outpatients
CA,Bakersfield,562663.2516,317,1774.962939,36.778261,-119.417932,California,outpatients
CA,Chico,438944.2912,233,1883.881078,36.778261,-119.417932,California,outpatients
CA,Contra Costa County,783840.1454,324,2419.259708,36.778261,-119.417932,California,outpatients
CA,Fresno,524533.2815,312,1681.196415,36.778261,-119.417932,California,outpatients
CA,Los Angeles,7060153.527,2655,2659.191535,36.778261,-119.417932,California,outpatients
CA,Medford,63694.52924,42,1516.53641,36.778261,-119.417932,California,outpatients
CA,Modesto,854053.0876,334,2557.045173,36.778261,-119.417932,California,outpatients
CA,Napa,442980.552,180,2461.003067,36.778261,-119.417932,California,outpatients
